GENESIS-Tabelle: 12421-0001
Vorausberechneter Bevölkerungsstand: Deutschland, Stichtag,;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Varianten der Bevölkerungsvorausberechnung;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Bevölkerungsvorausberechnungen;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Vorausberechneter Bevölkerungsstand (1000);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag;Stichtag
BEV-VARIANTE-10;Bevölkerungsminimum (G1L1W1);83198;83347;83458;83528;83558;83545;83491;83393;83255;83076;82857;82601;82332;82050;81757;81453;81139;80814;80477;80129;79769;79397;79014;78621;78218;77806;77388;76963;76534;76102;75668;75233;74798;74364;73932;73503;73078;72659;72245;71838;71438;71045
BEV-VARIANTE-11;Bevölkerungsmaximum (G3L3W3);83223;83428;83626;83813;83989;84152;84303;84442;84569;84686;84794;84892;84991;85090;85192;85294;85398;85501;85604;85705;85803;85898;85989;86076;86159;86239;86315;86390;86463;86535;86606;86678;86749;86822;86896;86972;87052;87135;87224;87319;87420;87530
BEV-VARIANTE-12;Geburten niedrig, LE moderat, WS niedrig (G1L2W1);83200;83356;83476;83561;83607;83615;83582;83511;83399;83250;83063;82839;82604;82358;82102;81836;81561;81276;80982;80677;80362;80037;79701;79356;79003;78642;78274;77900;77522;77140;76755;76368;75980;75591;75203;74815;74430;74047;73667;73293;72923;72560
BEV-VARIANTE-13;Lebenserwartung und WS niedrig (G2L1W1);83201;83356;83476;83559;83604;83612;83581;83510;83402;83255;83071;82850;82617;82374;82121;81859;81588;81308;81017;80716;80405;80082;79749;79406;79054;78694;78328;77956;77580;77201;76821;76441;76062;75686;75313;74944;74580;74224;73874;73532;73199;72875
BEV-VARIANTE-14;Lebenserwartung hoch, WS niedrig (G2L3W1);83206;83373;83513;83623;83702;83749;83763;83742;83688;83599;83477;83320;83155;82982;82801;82614;82420;82218;82010;81794;81570;81338;81098;80850;80595;80333;80065;79793;79516;79236;78954;78669;78383;78097;77810;77524;77239;76956;76676;76400;76128;75862
BEV-VARIANTE-15;Geburten niedrig, LE geringer Anstieg (G1L1W2);83198;83347;83458;83529;83558;83546;83492;83397;83284;83154;83010;82854;82685;82507;82319;82123;81918;81704;81481;81248;81005;80752;80489;80217;79937;79649;79354;79053;78748;78439;78128;77815;77501;77188;76875;76565;76257;75953;75653;75359;75071;74790
BEV-VARIANTE-16;Geburten niedrig, LE starker Anstieg (G1L3W2);83202;83364;83495;83593;83656;83683;83674;83629;83570;83499;83416;83324;83223;83114;82999;82877;82749;82614;82473;82325;82170;82007;81837;81661;81477;81288;81092;80892;80687;80478;80265;80048;79828;79606;79381;79155;78928;78700;78472;78246;78022;77802
BEV-VARIANTE-17;Geburten hoch, LE geringer Anstieg (G3L1W2);83204;83367;83499;83598;83663;83694;83690;83653;83605;83549;83485;83414;83339;83261;83180;83095;83007;82914;82815;82709;82596;82474;82344;82206;82060;81908;81751;81590;81427;81262;81096;80932;80769;80610;80455;80306;80163;80028;79901;79784;79677;79581
BEV-VARIANTE-18;Geburten hoch, LE starker Anstieg (G3L3W2);83208;83384;83536;83662;83761;83831;83873;83885;83891;83893;83891;83885;83877;83869;83860;83850;83839;83826;83809;83789;83763;83732;83696;83653;83605;83552;83494;83434;83371;83305;83239;83171;83103;83036;82969;82905;82843;82784;82731;82682;82640;82606
BEV-VARIANTE-19;LE geringer Anstieg, WS hoch (G2L1W3);83216;83401;83566;83710;83832;83932;84011;84069;84107;84125;84126;84109;84084;84052;84015;83972;83925;83872;83813;83748;83677;83597;83511;83417;83316;83210;83098;82983;82864;82743;82621;82499;82378;82258;82141;82027;81918;81814;81717;81626;81543;81468
BEV-VARIANTE-20;Lebenserwartung und WS hoch (G2L3W3);83220;83418;83603;83774;83930;84070;84194;84301;84393;84470;84531;84579;84621;84660;84695;84727;84756;84783;84807;84827;84843;84854;84861;84862;84859;84852;84840;84825;84807;84786;84763;84738;84712;84684;84656;84628;84601;84575;84551;84531;84514;84503
BEV-VARIANTE-21;Geburten und Wanderungssaldo hoch (G3L2W3);83221;83420;83608;83782;83940;84084;84213;84327;84428;84516;84593;84660;84725;84791;84857;84923;84988;85053;85115;85175;85230;85281;85327;85367;85402;85434;85462;85487;85511;85534;85556;85579;85604;85631;85661;85694;85733;85778;85830;85889;85958;86036
BEV-MODELL-01;Geb. hoch, WS niedrig, LE ger. Anstieg (G3L1W1);83204;83367;83499;83598;83663;83693;83689;83650;83576;83470;83331;83161;82984;82801;82613;82419;82219;82011;81795;81570;81335;81089;80833;80568;80294;80012;79725;79434;79140;78846;78551;78258;77968;77682;77402;77128;76862;76606;76359;76122;75897;75684
BEV-MODELL-02;Geb. hoch, WS niedrig, LE mod. Anstieg (G3L2W1);83206;83375;83518;83630;83712;83762;83781;83767;83721;83644;83537;83399;83257;83109;82958;82803;82642;82475;82301;82119;81929;81730;81522;81305;81081;80850;80614;80373;80131;79886;79641;79397;79154;78914;78677;78445;78219;77999;77787;77584;77390;77206
BEV-MODELL-03;Geb. hoch, WS niedrig,LE starker Anstieg (G3L3W1);83208;83384;83536;83662;83761;83831;83871;83882;83862;83814;83737;83631;83522;83409;83294;83174;83051;82923;82789;82649;82502;82347;82184;82013;81836;81653;81465;81274;81080;80884;80687;80490;80293;80098;79904;79713;79526;79344;79167;78996;78833;78678
BEV-MODELL-04;Geb. niedrig, WS hoch,LE geringer Anstieg (G1L1W3);83212;83392;83548;83679;83786;83866;83922;83953;83960;83946;83911;83857;83794;83722;83642;83555;83461;83360;83252;83135;83011;82878;82737;82588;82432;82269;82101;81928;81751;81572;81390;81207;81024;80841;80660;80480;80304;80132;79964;79802;79645;79495
BEV-MODELL-05;Geb. niedrig, WS hoch, LE mod. Anstieg (G1L2W3);83215;83400;83566;83712;83835;83935;84014;84070;84105;84120;84116;84095;84066;84029;83987;83938;83883;83823;83757;83684;83604;83518;83425;83325;83219;83107;82990;82868;82742;82614;82482;82349;82213;82077;81941;81804;81669;81535;81404;81277;81154;81036
BEV-MODELL-06;Geb. niedrig, WS hoch,LE starker Anstieg (G1L3W3);83217;83409;83585;83743;83883;84004;84104;84185;84246;84290;84316;84327;84331;84329;84321;84309;84292;84271;84244;84213;84176;84134;84086;84032;83974;83910;83841;83769;83692;83613;83530;83444;83356;83265;83172;83078;82984;82889;82794;82702;82612;82525
BEV-MODELL-07;Geburten und LE moderat, WS Null (G2L2W0);82836;82645;82437;82211;81966;81702;81418;81115;80794;80456;80101;79731;79349;78956;78553;78142;77722;77295;76860;76416;75964;75504;75036;74559;74074;73582;73083;72578;72067;71552;71033;70509;69983;69455;68925;68394;67864;67334;66806;66282;65761;65245
BEV-MODELL-08;2,1 Kinder je Frau, WS Null (GRL2W0);82928;82921;82991;83042;83072;83081;83067;83030;82970;82887;82783;82658;82514;82353;82176;81985;81781;81565;81338;81102;80856;80603;80343;80077;79809;79539;79270;79004;78745;78496;78258;78034;77825;77633;77458;77299;77155;77025;76907;76800;76700;76607
BEV-MODELL-09;Status-quo: Geburten, LE und WS konstant (GkLkWk);83207;83389;83552;83696;83821;83927;84016;84089;84146;84191;84223;84246;84260;84267;84269;84266;84257;84244;84226;84202;84171;84134;84091;84041;83987;83927;83864;83798;83731;83663;83595;83528;83465;83405;83350;83302;83262;83230;83208;83196;83194;83202
__________
"Ergebnisse der 14. koordinierten 
Bevölkerungsvorausberechnung (Basis: 31.12.2018)

G1: Geburtenrate 1,4 Kinder je Frau
G2: Geburtenrate 1,55 Kinder je Frau
G3: Geburtenrate 1,7 Kinder je Frau
Gk: Geburtenrate konstant bei 1,57 Kinder je Frau
GR: Geburtenrate 2,1 Kinder je Frau

L1: Lebenserwartung bei Geburt 2060 für Jungen 82,5 /
    Mädchen 86,4 Jahre
L2: Lebenserwartung bei Geburt 2060 für Jungen 84,4 /
    Mädchen 88,1 Jahre
L3: Lebenserwartung bei Geburt 2060 für Jungen 86,2 /
    Mädchen 89,6 Jahre
Lk: Lebenserwartung bei Geburt konstant: für Jungen 78,4 / 
    Mädchen 83,2 Jahre

W1: durchschnittlicher Wanderungssaldo 147 000
W2: durchschnittlicher Wanderungssaldo 221 000
W3: durchschnittlicher Wanderungssaldo 311 000
W0: Wanderungssaldo Null (keine Außenwanderung)
Wk: Wanderungssaldo konstant bei 386 000"
© Statistisches Bundesamt (Destatis), 2021
Stand: 25.01.2022 / 14:13:24
